label,field.h.x,field.h.y,field.h.z,field.n.x,field.n.y,field.n.z,field.t.x,field.t.y,field.t.z,field.rs.x,field.rs.y,field.rs.z,field.re.x,field.re.y,field.re.z,field.rh.x,field.rh.y,field.rh.z,field.ls.x,field.ls.y,field.ls.z,field.le.x,field.le.y,field.le.z,field.lh.x,field.lh.y,field.lh.z
bow1,1.63799786551,-0.0790071211158,0.270403834375,1.66307008261,-0.0993706764815,0.0374321999199,1.66548704284,-0.125203728822,-0.196495161865,1.60400512015,0.0548785915777,0.0197881908012,1.49660999613,0.158036091229,-0.27105853691,1.46036862107,-0.14710738296,-0.28855858689,1.72213504506,-0.253619925467,0.0550762090386,1.72212349904,-0.331013541233,-0.274388161648,1.68864777805,-0.366180625866,-0.578949379018
bow1,1.63696538895,-0.077254797943,0.270561980257,1.66234864631,-0.0983636143121,0.0382346470279,1.66645591965,-0.125517613813,-0.195519884662,1.60435984994,0.0561386255345,0.0192683530724,1.49549988032,0.159738418694,-0.271641113399,1.46113106726,-0.145662159212,-0.288468074554,1.72033744267,-0.252865857973,0.0572009409834,1.72294953961,-0.331477008658,-0.277364055795,1.68822904691,-0.361423699914,-0.582349951211
bow1,1.63738298385,-0.0766597036356,0.269075528528,1.66215942281,-0.0964478892992,0.0361988506038,1.66502120533,-0.121795985172,-0.19777027612,1.60411521148,0.0582063774741,0.0187340064368,1.49581287112,0.160357758833,-0.270336762742,1.45863937349,-0.144760297637,-0.286083391329,1.72020363414,-0.251102140814,0.0536636947707,1.72268756404,-0.328876210059,-0.278216258202,1.69010989775,-0.360050035779,-0.583300275502
bow1,1.6365034705,-0.07623564223,0.270387299337,1.66216881636,-0.0946658686958,0.0363852366776,1.6655282759,-0.11911829471,-0.19767945767,1.60449057281,0.0601803855057,0.0193810845258,1.49552136466,0.159980652049,-0.271407043654,1.46176424231,-0.145427430934,-0.289230589086,1.71984705991,-0.249512130527,0.0533893888295,1.72325799097,-0.325684893267,-0.277104718549,1.6895133269,-0.355372944464,-0.582227641475
bow1,1.64113054266,-0.07618993279,0.269604384391,1.66388707393,-0.0933603280215,0.0365604165233,1.66527387514,-0.117318269705,-0.197576124216,1.60640207005,0.0616452782387,0.0203592879537,1.49566749189,0.158936142698,-0.269983582276,1.46428962675,-0.146455207913,-0.291942420872,1.72137207781,-0.248365930467,0.052761545093,1.72500726264,-0.326911205201,-0.277217090697,1.69063123815,-0.353346084889,-0.582559249585
bow1,1.64275981503,-0.0760463034533,0.269724434559,1.66475815385,-0.0914492683033,0.0347070197689,1.66547990633,-0.113006974392,-0.199663039036,1.60858248005,0.0642031285024,0.0202171138068,1.49889296342,0.161699383916,-0.265134625618,1.46537322599,-0.142915058058,-0.293553814013,1.72093382765,-0.247101680368,0.0491969257311,1.72497002902,-0.325906139419,-0.276802967026,1.69165433674,-0.359735515945,-0.58151683391
bow1,1.64392131462,-0.075614391533,0.270311069697,1.6662790333,-0.0912648602509,0.0363693676981,1.66734722257,-0.113129846562,-0.197969289791,1.61015194248,0.0643745515037,0.0215918333837,1.50033594871,0.163953539607,-0.26502473712,1.46451835849,-0.14040785905,-0.293523171224,1.72240612412,-0.246904256747,0.0511469020125,1.72456780696,-0.324028852078,-0.275030504611,1.69127276148,-0.361998243177,-0.57927928368
bow1,1.65038786804,-0.075232791242,0.270877421676,1.66803634883,-0.0904157250728,0.0348534615849,1.66488016427,-0.110110049716,-0.199655590544,1.61274117417,0.0657321583656,0.0224844019979,1.50030360856,0.16321019232,-0.263457934023,1.46332024846,-0.141057216478,-0.291427341628,1.7233315235,-0.246563616141,0.0472225211719,1.72520268304,-0.325381480362,-0.279545430038,1.69072185126,-0.364380386314,-0.583538864176
bow1,1.65028166494,-0.0749731557068,0.270613689156,1.66898374142,-0.0924395329332,0.034161975561,1.66553557396,-0.114458344427,-0.200141036066,1.61360494374,0.0635559454129,0.0203174066376,1.50025026398,0.162594850938,-0.264034716053,1.46153913765,-0.14183760327,-0.287546262088,1.72436253911,-0.248435011279,0.0480065444844,1.72655853275,-0.328174108438,-0.278322595663,1.68944573277,-0.364376362681,-0.582294901969
bow1,1.65159318454,-0.0742006136578,0.270340948743,1.66851815076,-0.0891511511595,0.0335063376227,1.66420913609,-0.109316305232,-0.200949411321,1.61409968366,0.0672987069348,0.021050711705,1.50164833508,0.164834464838,-0.261846549802,1.46147746946,-0.138933535503,-0.290817685201,1.72293661787,-0.245600986366,0.0459619635404,1.72457780516,-0.325680036124,-0.279829851571,1.68858367034,-0.365145195193,-0.583575721556
