0.11850000000000001,0.014125000000000002,47.35,5.6
0.11850000000000001,0.014125000000000002,47.4,5.65
0.11850000000000001,0.014125000000000002,56.3,11.65
0.13999999999999999,0.013625000000000002,47.1,11.45
0.13999999999999999,0.013625000000000002,56.0,5.45
0.13999999999999999,0.013625000000000002,56.05,5.4
54.6,2.3,54.6,2.3
2.41,0.08499999999999999,48.2,1.7
2.41,0.08499999999999999,53.55,12.5
2.4074999999999998,0.08499999999999999,48.15,1.7
2.4074999999999998,0.08499999999999999,53.55,12.4
