"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
"[0.11850000000000001, 0.014125000000000002]","[47.35, 5.6]"
